match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
3790,312648300000,41,Italy,12,37,New Zealand,18,Italy,Tour 1979
2601,312940800000,42,France,30,52,Romania,12,France,Federation Internationale de Rugby Amateur Championship 1979
8856,314150400000,783,Yugoslavia,10,64,Netherlands,6,,
3789,314668800000,41,Italy,34,745,Morocco,6,,
4787,314668800000,43,Spain,25,783,Yugoslavia,3,Spain,
4635,315532800000,775,Tunisia,11,699,Belgium,7,,
8011,315532800000,735,Kenya,10,784,Zambia,26,,
2033,317140200000,34,England,24,36,Ireland,9,England,Five Nations 1980
582,317140200000,33,Wales,18,42,France,9,Wales,Five Nations 1980
1023,318297600000,42,France,13,34,England,17,France,Five Nations 1980
1347,318349800000,36,Ireland,22,35,Scotland,15,Ireland,Five Nations 1980
9917,318384000000,745,Morocco,4,42,France,33,,
1348,319559400000,35,Scotland,22,42,France,14,Scotland,Five Nations 1980
583,319559400000,34,England,9,33,Wales,8,England,Five Nations 1980
3788,319593600000,42,France,46,41,Italy,9,,
1349,320716800000,42,France,19,36,Ireland,18,France,Five Nations 1980
584,320769000000,33,Wales,17,35,Scotland,6,Wales,Five Nations 1980
1024,321980400000,35,Scotland,18,34,England,30,Scotland,Five Nations 1980
585,321980400000,36,Ireland,21,33,Wales,7,Ireland,Five Nations 1980
8857,323222400000,64,Netherlands,16,721,Germany,10,,
2753,324432000000,41,Italy,24,52,Romania,17,,Federation Internationale de Rugby Amateur Championship 1980
8864,324950400000,770,Switzerland,10,739,Luxembourg,7,,
9918,325641600000,753,Poland,28,745,Morocco,13,,
4788,325686600000,43,Spain,24,64,Netherlands,3,Spain,
2752,325965600000,52,Romania,41,745,Morocco,11,Romania,
4634,326160000000,715,Denmark,13,775,Tunisia,19,,
8858,326160000000,721,Germany,6,783,Yugoslavia,6,,
3904,326764800000,51,USA,18,33,Wales,24,,Tour 1980
2751,326851200000,52,Romania,23,1168,USSR,6,Romania,Federation Internationale de Rugby Amateur Championship 1980
8859,327369600000,783,Yugoslavia,14,769,Sweden,4,,
4076,327974400000,50,Canada,7,33,Wales,24,Canada,Tour 1980
1560,328030200000,46,Fiji,9,38,Australia,22,Fiji,Tour 1980
10486,328060800000,1168,USSR,54,753,Poland,10,Russian Federation,Federation Internationale de Rugby Amateur Championship 1980
6438,328579200000,377,Sydney,13,37,New Zealand,13,,Tour 1980
1974,328635000000,39,South Africa,26,55,British & Irish Lions,22,South Africa,Tour 1980
4881,328752000000,45,Samoa,12,47,Tonga,15,,Tour 1980
3905,329270400000,51,USA,0,50,Canada,16,United States,
4789,329356800000,769,Sweden,27,43,Spain,39,,
3474,329788800000,46,Fiji,16,41,Italy,3,Fiji,Tour 1980
1975,329844600000,39,South Africa,26,55,British & Irish Lions,19,South Africa,Tour 1980
1561,330447600000,38,Australia,13,37,New Zealand,9,Australia,Tour 1980
1562,331052400000,38,Australia,9,37,New Zealand,12,Australia,Tour 1980
1976,331053300000,39,South Africa,12,55,British & Irish Lions,10,South Africa,Tour 1980
8860,331257600000,725,Hong Kong,91,741,Malaysia,6,,
8863,331257600000,64,Netherlands,10,721,Germany,13,,
8865,331257600000,775,Tunisia,9,721,Germany,30,,
